P,L,EI,delta
4.416349531205837593e+03,1.406884219005410719e+00,9.281695803767582402e+06,0.000000000000000000e+00
3.566696950961242010e+02,3.347512733309307098e+00,8.680809590830206871e+06,9.859930609886736422e-04
5.541658530999220602e+03,8.710338837747290341e+00,8.258656297700934112e+06,8.466096881835985521e-04
4.409691686920940811e+03,8.617707116485028962e+00,2.506872819024194498e+06,3.026683807027433920e-02
4.261641240666141130e+03,3.517310271115979159e+00,2.253817720384023618e+06,8.856063464337416563e-03
3.370314727938353826e+03,2.261243242625401439e+00,3.995822902436326724e+06,4.950463444784143976e-03
2.126021476974640791e+03,7.154796484672849566e+00,7.645653136007774621e+06,6.438301008051679555e-03
6.230782566871570452e+03,4.207492739544500537e+00,3.747994546835464425e+06,1.416896851440764202e-02
3.066581269377778881e+03,6.489159464127153498e+00,5.328328623759138398e+06,1.449213345891371728e-03
2.741590023518379894e+03,5.480237821195657943e+00,4.765942825251569040e+06,2.707361495571999812e-03
6.249224944416019753e+03,6.431320721715843902e+00,3.292989787731443066e+06,5.984349133978903411e-03
5.338506733342686857e+03,1.952550139909680293e+00,5.869061724187841639e+06,0.000000000000000000e+00
1.432341458914842178e+03,5.092683173110213346e+00,9.905072847512768582e+06,0.000000000000000000e+00
5.184423400530889921e+03,4.843911406091577554e+00,4.511369384713862091e+06,8.687098115409471345e-04
1.925954669904461298e+03,5.687892286452183477e+00,1.601883456893634982e+06,1.272039228694222830e-03
7.874817963385066832e+03,6.624473625139106758e+00,7.671633844089219347e+06,5.710840771961615304e-03
8.554355397130939309e+03,5.245713644558829714e+00,2.162706992994930129e+06,1.939912137265255646e-02
4.992944690081085355e+03,8.090486585027553801e+00,7.323819749133962207e+06,0.000000000000000000e+00
8.480958705038932749e+03,2.531155904174143600e+00,2.553395392488014419e+06,0.000000000000000000e+00
8.884902223897038311e+02,1.758084264926626172e+00,6.070425667616442777e+06,0.000000000000000000e+00
5.101936292204869460e+03,9.031826597562536918e+00,4.043508397518371232e+06,1.885905597074990017e-02
7.463363934300932669e+02,8.320227320319350639e+00,1.001019060650780331e+06,5.645439349324696265e-03
4.338411043214155143e+03,9.377407423302422274e+00,3.556917178755629342e+06,1.033524348957260384e-02
1.055656065040064277e+03,6.444403228896679714e+00,9.977608116462899372e+06,6.705532420182748997e-03
